Pour quoi Hercule est-il célèbre ?;Qui est l'équivalent romain de Hera ?;Qui est l'équivalent grec de Mars ?;Qui est Eros;Où étaient faits prisonniers les Titans ?;Qui est Zeus ?;Qui sont les Néréides ?;Qui est la muse de la danse ?;Qui est la déesse de la beauté ?;Qui est le dieu de la mer ?;De qui Oedipe est-il le fils ?;Quel est le point commun entre Diogène et les Danaïdes ?;Qui sont les Naïades ?;Qui est Mars ?;Qui sont les Parques ?;Qui sont les Titans ?;Qui sont les Néphélées ?;Qui est l'équivalent romain de Zeus ?;Qui sont les Perséides ?;Qui est Apollon ?;Qui est l'épouse de Zeus ?;Que sont Charybde et Sylla ?;Qui est la femme d'Ulysse ?;Qui sont les Sylphides ?
1;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0
1;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;1;1;0;0
1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;0;1;0
1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1
1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;1
1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0
1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0
1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1
1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1
1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1
1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0
1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1
1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1
1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0
1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;1
1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0
1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1
1;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1
1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;0
1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;1
1;0;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0
1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1
1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0
1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;1;0
1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;1;1
1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1
1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0
1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1
1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1
1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0
1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1
1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0
1;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1
1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1
1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1
1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1
1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0
1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0
1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1
1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1
1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1
1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0
1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1
1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1
1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1
1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0
1;1;1;0;1;0;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0
1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1
1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1
1;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0
1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0
1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1
1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1
1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1
1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1
1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0
1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0
1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1
1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0
1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0
1;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0
1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1
1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1
1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;0
1;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1
1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0
1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0
1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1
1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1
1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;0
1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0
1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1
1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;0
1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1
1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1
1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1
1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1
1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1
1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0
1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;1
1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1
1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1
1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0
1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1
1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1
1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1
1;0;1;1;0;1;0;0;1;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0
1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1
1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0
1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0
1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1
1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1
1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1
1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0
1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1
1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0
1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1
1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;0
1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1
1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0
1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1
1;0;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0
1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1
1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1
1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1
